HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
17,18,16,23,22,16
21,25,22,30,27,23
17,17,16,21,36,15
16,17,16,19,23,17
21,21,21,25,38,34
16,16,16,18,30,17
19,19,18,20,21,20
21,22,21,24,25,21
15,15,15,19,93,16
17,17,16,23,30,16
27,27,25,399,24,23
63,117,87,25,26,25
20,20,19,21,22,20
