HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-229.5362056327,-229.5362056326,-229.5362056326,-230.9987883166,-230.9987883162,-230.9987883165
-305.6911644007,-305.6911644007,-305.6911644008,-307.5513733681,-307.5513733680,-307.5513733680
-309.9477223435,-309.9477223434,-309.9477223435,-312.0537803212,-312.0537803183,-312.0537803212
-309.9843477441,-309.9843477441,-309.9843477441,-312.0913626012,-312.0913625951,-312.0913626012
-233.8721545570,-233.8721545569,-233.8721545569,-235.5775538865,-235.5775538867,-235.5775538866
-232.8577271182,-232.8577271181,-232.8577271182,-234.5120782382,-234.5120782336,-234.5120782381
-229.4561070057,-229.4561070056,-229.4561070057,-230.9346314240,-230.9346314241,-230.9346314249
-349.0478361198,-349.0478361199,-349.0478361198,-351.4179673397,-351.4179673394,-351.4179673397
-154.6086201998,-154.6086201998,-154.6086201998,-155.7125134654,-155.7125134651,-155.7125134653
-234.0152858517,-234.0152858516,-234.0152858517,-235.7077357189,-235.7077357190,-235.7077357190
-190.3877706724,-190.3877706725,-190.3877706725,-191.5800782931,-191.5800782922,-191.5800782930
-155.8877347895,-155.8877347895,-155.8877347895,-157.0341485006,-157.0341485006,-157.0341485006
-270.8311051253,-270.8311051253,-270.8311051253,-272.6628888488,-272.6628888488,-272.6628888486
-229.5963127250,-229.5963127254,-229.5963127252,-231.0638382393,-231.0638382392,-231.0638382394
-383.6901050487,-383.6901050487,-383.6901050486,-386.1273852376,-386.1273852367,-386.1273852376
-344.6944378267,-344.6944378269,-344.6944378269,-346.8472634762,-346.8472634762,-346.8472634761
-383.7172990047,-383.7172990048,-383.7172990046,-386.1226332043,-386.1226332042,-386.1226332043
-266.5607867582,-266.5607867582,-266.5607867582,-268.1643471765,-268.1643471767,-268.1643471771
-348.8898044831,-348.8898044831,-348.8898044831,-351.3094647079,-351.3094647079,-351.3094647076
-348.8932513570,-348.8932513569,-348.8932513570,-351.2858726197,-351.2858726196,-351.2858726197
-272.8610048101,-272.8610048100,-272.8610048101,-274.8476694552,-274.8476694548,-274.8476694552
-266.6104726323,-266.6104726324,-266.6104726324,-268.1809842827,-268.1809842832,-268.1809842829
-302.3153623089,-302.3153623089,-302.3153623089,-304.0038322308,-304.0038322309,-304.0038322307
-194.8419128456,-194.8419128457,-194.8419128456,-196.2771917500,-196.2771917505,-196.2771917504
-380.4566094109,-380.4566094108,-380.4566094108,-382.6933293819,-382.6933293820,-382.6933293819
-309.8721994400,-309.8721994400,-309.8721994400,-311.9792381439,-311.9792381438,-311.9792381438
-348.9955550311,-348.9955550311,-348.9955550311,-351.3623776068,-351.3623776068,-351.3623776069
-305.5249679673,-305.5249679673,-305.5249679673,-307.4010232237,-307.4010232239,-307.4010232237
-344.6190750812,-344.6190750810,-344.6190750813,-346.7711727711,-346.7711727711,-346.7711727709
-268.4244560498,-268.4244560497,-268.4244560498,-270.1790679482,-270.1790679480,-270.1790679481
-232.5532668373,-232.5532668372,-232.5532668373,-234.2239700981,-234.2239700980,-234.2239700981
-383.5997324571,-383.5997324571,-383.5997324571,-386.0328532494,-386.0328532496,-386.0328532494
-233.9032048353,-233.9032048353,-233.9032048353,-235.6052951093,-235.6052950739,-235.6052951093
-234.0252763373,-234.0252763373,-234.0252763373,-235.7189757853,-235.7189757854,-235.7189757853
-347.9587523026,-347.9587523026,-347.9587523027,-350.2932666122,-350.2932666122,-350.2932666118
-348.9076273156,-348.9076273155,-348.9076273155,-351.2958735039,-351.2958735040,-351.2958735039
-269.7086657792,-269.7086657792,-269.7086657792,-271.4975132445,-271.4975132445,-271.4975132445
-383.5336612430,-383.5336612429,-383.5336612429,-385.9649541191,-385.9649541186,-385.9649541191
-116.8217808097,-116.8217808097,-116.8217808098,-117.6701273622,-117.6701273622,-117.6701273622
-344.5439284414,-344.5439284414,-344.5439284414,-346.6978435104,-346.6978435107,-346.6978435106
-191.5867831524,-191.5867831524,-191.5867831524,-192.8429243336,-192.8429243336,-192.8429243336
-192.9371290757,-192.9371290757,-192.9371290757,-194.3550461173,-194.3550461116,-194.3550461171
-155.8879305754,-155.8879305755,-155.8879305755,-157.0341730629,-157.0341730629,-157.0341730629
-311.9055485077,-311.9055485077,-311.9055485077,-314.1673920368,-314.1673920371,-314.1673920370
-309.9709991664,-309.9709991664,-309.9709991664,-312.0667443110,-312.0667443110,-312.0667443109
-308.9042607126,-308.9042607126,-308.9042607126,-310.9384843515,-310.9384843517,-310.9384843518
-380.2052675112,-380.2052675112,-380.2052675111,-382.3710965034,-382.4832531874,-382.4832531875
-383.6943928789,-383.6943928789,-383.6943928789,-386.1155888633,-386.1155888632,-386.1155888634
-153.8064106701,-153.8064106700,-153.8064106701,-154.8028114470,-154.8028114470,-154.8028114467
-229.4594250448,-229.4594250455,-229.4594250456,-230.9520690144,-230.9520690137,-230.9520690143
-194.9639665009,-194.9639665008,-194.9639665009,-196.3833340745,-196.3833340746,-196.3833340746
-194.8380053557,-194.8380053557,-194.8380053557,-196.2738917937,-196.2738917938,-196.2738917937
-193.6037107239,-193.6037107239,-193.6037107239,-194.9990494889,-194.9990494896,-194.9990494895
-383.5404210455,-383.5404210455,-383.5404210449,-385.9721158949,-385.9721158941,-385.9721158947
-310.0081929780,-310.0081929781,-310.0081929780,-312.1094023665,-312.1094023664,-312.1094023665
-193.8221454522,-193.8221454522,-193.8221454522,-195.1948449421,-195.1948449423,-195.1948449423
-344.7701006933,-344.7701006934,-344.7701006934,-346.9029808352,-346.9029808353,-346.9029808352
-230.7647116690,-230.7647116689,-230.7647116690,-232.2738518110,-232.2738518036,-232.2738518110
-155.6749558499,-155.6749558499,-155.6749558498,-156.8447648906,-156.8447648812,-156.8447648905
-347.9516314899,-347.9516314899,-347.9516314899,-350.2778872363,-350.2778872363,-350.2778872363
-269.7583867891,-269.7583867891,-269.7583867891,-271.5314294129,-271.5314294127,-271.5314294128
-268.3075802070,-268.3075802071,-268.3075802071,-270.0356466738,-270.0356466715,-270.0356466735
-380.4559542753,-380.4559542752,-380.4559542753,-382.7015034592,-382.7015034624,-382.7015034628
