HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-155.2293928944,-155.2293928945,-155.2293928941,-156.3195666114,-156.3195666113,-156.3195666113
-384.2499675835,-384.2499675841,-384.2499675836,-386.6822105873,-386.6822105873,-386.6822105870
-273.6903665537,-273.6903665537,-273.6903665537,-275.6415119254,-275.6415119253,-275.6415119253
-383.2619973366,-383.2619973365,-383.2619973366,-385.6214403179,-385.6214403141,-385.6214403178
-270.4036622783,-270.4036622783,-270.4036622782,-272.1872106463,-272.1872106463,-272.1872106459
-311.5353657835,-311.5359149688,-311.5359149688,-313.7367069992,-313.7367069992,-313.7367069982
-383.1339185430,-383.1339185431,-383.1339185430,-385.5092272158,-385.5092272158,-385.5092272154
-155.2988310058,-155.2988310057,-155.2988310058,-156.3899608949,-156.3899608950,-156.3899608948
-305.1502428290,-305.1502428288,-305.1502428288,-306.9587576025,-306.9587576020,-306.9587576023
-304.9821461267,-304.9821461267,-304.9821461266,-306.8424082691,-306.8424082692,-306.8424082690
-309.4865528598,-309.4865528598,-309.4865528598,-311.5217137095,-311.5217137095,-311.5217137091
-273.6608267302,-273.6608267302,-273.6608267303,-275.6351476796,-275.6351476795,-275.6351476795
-269.3115841573,-269.3115841574,-269.3115841574,-271.0298238648,-271.0298238648,-271.0298238645
-230.2652700805,-230.2652700805,-230.2652700805,-231.7006129682,-231.7006129669,-231.7006129677
-234.5629189899,-234.5629189900,-234.5629189900,-236.2658825397,-236.2658825397,-236.2658825395
-269.1823069673,-269.1823069674,-269.1823069673,-270.9150655598,-270.9150655598,-270.9150655596
-272.4172861554,-272.4172861555,-272.4172861554,-274.3488972419,-274.3488972419,-274.3488972419
-384.1942978356,-384.1942978356,-384.1942978355,-386.6375929500,-386.6375929502,-386.6375929503
-384.2974467116,-384.2974467118,-384.2974467117,-386.7241726879,-386.7241726879,-386.7241726878
-344.0780478966,-344.0780478966,-344.0780478967,-346.2165458971,-346.2165458971,-346.2165458970
-269.3106407052,-269.3106407053,-269.3106407052,-271.0266592814,-271.0266592813,-271.0266592813
-269.2390524932,-269.2390524936,-269.2390524934,-270.9876781107,-270.9876781108,-270.9876781103
-269.2466997300,-269.2466997300,-269.2466997299,-270.9965496163,-270.9965496157,-270.9965496157
-344.1623053933,-344.1623053934,-344.1623053934,-346.2473592512,-346.2473592512,-346.2473592510
-270.4326065622,-270.4326065624,-270.4326065623,-272.1987488344,-272.1987488344,-272.1987488345
-233.4637091869,-233.4637091871,-233.4637091870,-235.1126279986,-235.1126279982,-235.1126279985
-347.3943447425,-347.3943447433,-347.3943447432,-349.6801095292,-349.6801095294,-349.6801095292
-267.0542597592,-267.0542597592,-267.0542597591,-268.6394640533,-268.6394640532,-268.6394640529
-305.1284308955,-305.1284308955,-305.1284308954,-306.9511180147,-306.9511180148,-306.9511180144
-273.6378798663,-273.6378798664,-273.6378798663,-275.6130344800,-275.6130344819,-275.6130344817
-156.5188753423,-156.5188753424,-156.5188753424,-157.6625908985,-157.6625908986,-157.6625908985
-308.2488328842,-308.2488328852,-308.2488328847,-310.2599413387,-310.2599413389,-310.2599413387
-156.5819357188,-156.5819357187,-156.5819357187,-157.6987020157,-157.6987020159,-157.6987020159
-309.3511100359,-309.3511100358,-309.3511100356,-311.4026763251,-311.4026763251,-311.4026763251
-344.0814652097,-344.0814652098,-344.0814652097,-346.1487071262,-346.1487071262,-346.1487071261
-270.3896705089,-270.3896705089,-270.3896705088,-272.1839040408,-272.1839040408,-272.1839040407
-345.1705373091,-345.1705373090,-345.1705373090,-347.3267072017,-347.3267072015,-347.3267072015
-311.5367971214,-311.5370233928,-311.5370233930,-313.7367533695,-313.7367533669,-313.7367533693
-348.5029781379,-348.5029781380,-348.5029781380,-350.8408157727,-350.8408157325,-350.8408157724
-192.3645663824,-192.3645663827,-192.3645663826,-193.5889292978,-193.5889292978,-193.5889292972
-348.5267416178,-348.5267416177,-348.5267416178,-350.8617617746,-350.8617617746,-350.8617617745
-270.4276434823,-270.4276434824,-270.4276434823,-272.2028114763,-272.2028114763,-272.2028114762
-230.2829976749,-230.2829976748,-230.2829976748,-231.7378206266,-231.7378206266,-231.7378206263
-309.4841649897,-309.4841649898,-309.4841649898,-311.5447974228,-311.5447974228,-311.5447974228
-309.2890087779,-309.2890087780,-309.2890087779,-311.3686427917,-311.3686427885,-311.3686427917
-309.4668080656,-309.4668080656,-309.4668080657,-311.5286742233,-311.5286742232,-311.5286742231
-309.4385397173,-309.4385397200,-309.4385397186,-311.4990347454,-311.4990347455,-311.4990347452
-270.4607080276,-270.4607080276,-270.4607080275,-272.2450819999,-272.2450820001,-272.2450819998
-308.3072419459,-308.3072419461,-308.3072419458,-310.3169460194,-310.3169460195,-310.3169460194
-383.0383894573,-383.0383894573,-383.0383894572,-385.4120830447,-385.4120830446,-385.4120830447
-308.3536586795,-308.3536586794,-308.3536586794,-310.3826788827,-310.3826788831,-310.3826788830
-309.4035798960,-309.4295367838,-309.4295367838,-311.4710116290,-311.4710116289,-311.4710116289
-312.6569990297,-312.6569990297,-312.6569990295,-314.9114222437,-314.9114222434,-314.9114222436
-270.2788155127,-270.2797905319,-270.2797905319,-272.0503456010,-272.0503456008,-272.0503456006
-269.1786245928,-269.1786245931,-269.1786245930,-270.9244809335,-270.9244809335,-270.9244809334
-270.4287342306,-270.4287342307,-270.4287342305,-272.2132152587,-272.2132152587,-272.2132152586
-234.5875304569,-234.5875304569,-234.5875304569,-236.2874826441,-236.2874826439,-236.2874826441
-231.3587446809,-231.3587446809,-231.3587446808,-232.8552353568,-232.8552353569,-232.8552353564
-383.1610480606,-383.1610480605,-383.1610480605,-385.5373097128,-385.5373097131,-385.5373097128
-233.4712106938,-233.4712106937,-233.4712106938,-235.1200434544,-235.1200434536,-235.1200434544
